tsn	tsn_accepted
4833441	5219142
4833474	5219142
3240004	5219142
6006416	2434443
4833556	2434443
4833554	2434443
4833479	5219142
4833482	5219142
4833484	5219142
4833473	5219142
3240005	5219142
3240003	5219142
4833444	2434443
4833523	5219142
4833480	5219142
9225643	
8974103	
8794094	4265723
8866629	4265720
9110424	4265717
9050785	6164724
9011906	6164889
8775814	6164888
5219640	5219639
5219643	5219639
5219642	5219639
2437196	5219639
5219644	5219639
8890161	4265927
9180970	6163903
8565768	2439895
9614489	9147205
8895226	4266030
9144589	2439171
8760173	
9192515	
9127545	
8740990	
9345784	4974803
8974437	2437719
8832279	2437719
9127903	2437719
9073424	2437719
8741314	2437719
8922379	2437719
8692496	9351167
7261845	2432521
8102333	2432521
7444103	2436441
8037289	2439489
8847648	2439489
4409265	2439489
9186872	2439489
8812692	2439489
7468623	2439489
8938174	2439489
8726591	2439489
9111258	2439489
8294491	2439489
9208750	2439489
4971897	8678790
8523119	4969576
4975206	
8902072	4262923
8903410	4262923
9149514	4262923
4266170	5787715
8217595	5219310
7552927	4264964
9752772	
9052398	
7504316	5219878
2439491	2439488
9334138	
9440250	7510483
9394677	
8989035	
8798339	
9073781	
8706182	9374064
8658905	9374064
8626977	9374064
9329524	9374064
8621439	9374064
9446922	9374064
8499273	9374064
9320925	9374064
8494206	9374064
8449108	9374064
8453999	9374064
8571463	9374064
8576821	9374064
2439009	2438998
8670857	4975105
8882787	
8496389	
4974712	
9010479	
9093737	4265037
8723314	4265037
7373570	4265037
9204897	4265037
8809302	4265037
9107540	4265037
8954888	4265037
7893779	4265037
7580457	9800308
2438253	9800308
7920492	9800308
9035089	9800308
8089217	9800308
9011838	9800308
9170268	
9513296	
8778613	
9001683	5219567
7582269	5219567
8806561	5219567
7918634	5219567
9459626	2440339
4352092	2440339
8468910	2440339
5787243	5219310
8527156	4830396
9342565	4830396
4969520	9429860
9529164	9429860
4972655	9516730
4266887	9147205
5786442	9147205
9469036	9351167
4975155	9351167
4973078	9346395
4969625	8842417
9234031	4941581
9632812	9330452
4974834	8885183
9390165	8622144
9584022	8622144
9376789	8622144
9444520	8601165
4971504	9286395
9455046	8587114
9410907	4973201
9458922	9621332
8599016	9621332
8482335	9581783
4974442	9133626
8480774	9241037
8474799	8971905
9633773	9374064
4969528	9374064
4969996	9628322
4974031	9421315
9616453	9421315
9345882	9421315
4970419	9395272
9514307	9395272
4969900	9606201
4352098	2440339
9285608	9374064
9511909	9374064
9483634	9374064
4969535	7510483
9330184	2435382
9556642	4409147
8855544	9200042
8637224	9580925
8440192	9580925
4834140	4834139
4834141	4834139
4835572	2440948
4835574	7816758
4835564	2440948
5429041	2440948
8125204	7816758
4835604	2440948
4835569	2440948
3240422	2440948
4835567	2440948
4835571	2440948
8078258	7816758
3240446	7816758
3240440	7816758
3240423	2440948
4835568	2440948
7009361	7816758
8647362	7816758
8444442	2440948
4835566	2440948
4835573	2440948
4835556	2440948
3240439	7816758
4970274	4835255
3240676	2439824
4834208	4834207
4832818	3239787
4832816	3239787
7784486	3239787
5428954	3239787
8491338	4830390
8493915	4830412
8577143	4830412
8702835	4830390
4833567	2433454
3240110	2433454
6006415	2433454
6759368	2433454
4833564	2433454
4833566	2433454
8047763	2433398
3240113	2433398
4833640	2433398
4833588	2433454
3240109	2433454
4833568	2433454
4833569	2433454
4833641	2433398
8067389	5428983
4831789	2432772
4831787	2432772
4831788	2432772
4831791	2432772
4831792	2432772
8808987	
8734055	
8974202	4265638
4834857	2441065
5219648	7194049
4266878	8993021
8758402	8993021
8509271	7262081
8844621	7262081
8439546	7262081
8587296	7262081
8694618	7262081
8560955	7262081
8637960	7262081
9212099	7262081
9086797	7262081
8610523	7262081
8484408	7262081
8463557	7262081
9425643	4970167
8886562	2439000
4828254	2439000
9166195	2439000
9131580	2439000
4828253	2439000
2432668	4266775
9575658	9686324
9119714	
9365033	8794326
8779397	2439483
9074678	2439483
8740202	2439483
4409264	2439483
7915702	2439483
8833401	2439483
9224756	2439483
4973622	2439483
8420225	2439483
9015857	2439483
9171172	2439483
7603428	2439483
7585068	2439483
7782375	2438985
7856623	2438985
8230923	2438985
8223680	2438985
7789467	2438985
7708838	2438985
8300510	2438985
9213610	2438985
8107112	2438985
7358367	2438985
8426287	2438985
7402379	2438985
7902834	2438985
8154366	2438985
7597748	2438985
7715854	2438985
7641648	2438245
4265483	8094400
4265484	8094400
7546168	4264694
8300629	4264694
8378321	4264694
7642474	4264694
9584938	4969539
8683890	4969539
8475187	4969539
9377171	2437236
7549017	7261461
8101877	2438447
8856077	2438447
9199433	2438447
9158736	2438447
9196284	2438447
9003958	2438447
7404252	2438447
7787583	2438447
8228946	2438447
7665410	2438447
8768540	2438447
8801622	2438447
9040033	2438447
8949748	2438447
8804421	2438447
8893374	2438447
8105155	2438447
7407373	2438447
7710732	2438447
8026226	2438447
8225623	2438447
7479246	2438447
8305915	2438447
9006988	2438447
8682478	4968924
8474006	4968924
9321349	5218652
8321320	5218652
9634637	4973991
8647469	4973991
4973992	4973991
8552038	4973991
8517955	4973991
7596791	2438481
8859647	2438481
5786976	2438481
4409157	2438481
9682618	
9565646	
4969999	4969992
8530538	4969992
7652496	9278135
8726067	9278135
8367518	9278135
7536231	9278135
9061378	
8524968	
9515905	9442932
9249952	8659330
7533150	5219872
8364213	5219872
8847925	5219872
8995494	5219872
7969706	5219872
9051801	5219872
9149845	5219872
2438214	4264808
9204043	4264693
7881161	4264693
9094626	4264693
8954037	4264693
8808507	4264693
8851920	4264693
8646167	
9631965	4970173
8668591	8955415
8457914	4970173
8875376	
8859394	
8550624	5816585
8631044	5816585
8683288	5816585
8649007	5816585
8567507	5816585
8445524	5816585
8519360	5816585
9473189	5816585
8701838	5816585
9637654	8476355
7619548	2438245
9557625	8659330
9099951	8955415
9341796	4970167
9284206	4968924
9379221	4969992
9594092	5816585
9625886	7262081
8597415	4969539
9559095	4973991
4973982	9580925
8492275	8501601
8679366	9161728
2438248	4264694
9328758	4974473
9520072	4974476
4969541	4969539
9569094	4969539
9295518	9284066
4970962	9284066
8617858	9284066
8616735	9336960
9465013	8455329
9537858	8479275
4973445	9356704
7966542	9278135
8448580	9598128
4266892	9278135
9361748	8670801
4969638	9323974
9288205	9362764
4970155	9362764
8642096	9238756
9285513	4832663
9595845	4832663
9365488	4832663
4970231	9601998
9359678	9601998
2438249	4264693
9559003	9251213
9296412	4972907
9236064	8538100
9319192	4970173
9510166	4970173
9410354	4973444
4971503	9475794
2441160	7261461
9285975	8794326
4969233	8794326
9594387	4968924
8842328	5707038
9081123	5218861
9090861	4265722
8661246	4969991
4969993	4969991
8455997	4969991
4835622	2440964
4835615	2440964
4835616	2440964
4835617	2440964
4835605	2440964
4835618	2440964
7379100	2440964
4835626	2440964
4835627	2440964
4835560	2440964
7621303	2440964
4835549	2440932
8437988	2440964
8131960	2440964
4835621	2440964
8639769	2440964
3240410	2440964
4835624	2440964
4835623	2440964
4835619	2440964
4835625	2440964
4835620	2440964
4825752	2436691
4825756	2436691
4825748	2436691
4825750	2436691
4825753	2436691
4825749	2436691
4825741	2436691
4825751	2436691
4825747	2436691
4825744	2436691
4825746	2436691
8717195	2436691
4825743	2436691
